lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
afternoon	1_2	200	100	100	[199]	[100]	[99]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	5	1	5	3.8217391304347825	3.914772727272727	3.796943231441048
attack	1_2	200	100	100	[169, 19, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]	[90, 6, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]	[79, 13, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1]	[0.845, 0.095, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.9, 0.06, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.79, 0.13, 0.01, 0.02, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.249215786304818	1	5	1	5	2.934065934065934	2.9804469273743015	2.998708010335917
bag	1_2	200	100	100	[191, 1, 1, 1]	[92, 1, 1, 1]	[99, 0, 0, 0]	[0.985, 0.005, 0.005, 0.005]	[0.968, 0.011, 0.011, 0.011]	[1.0, 0.0, 0.0, 0.0]	0	0	0	0.12638118509404267	1	5	1	5	3.6068702290076335	3.542056074766355	3.53544776119403
ball	1_2	200	100	100	[131, 33, 12, 6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]	[49, 30, 11, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]	[82, 3, 1, 6, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1]	[0.672, 0.169, 0.062, 0.031, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.505, 0.309, 0.113, 0.0, 0.01, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0]	[0.837, 0.031, 0.01, 0.061, 0.01, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01]	1	1	1	0.49903655004421865	1	5	1	5	2.331715210355987	2.881782945736434	1.9847942754919499
bar	1_2	200	100	100	[55, 42, 33, 12, 10, 7, 5, 5, 5, 4, 4, 2, 2, 1, 1, 1, 1, 1]	[6, 33, 23, 9, 1, 6, 3, 1, 2, 4, 0, 2, 2, 1, 0, 0, 0, 0]	[49, 9, 10, 3, 9, 1, 2, 4, 3, 0, 4, 0, 0, 0, 1, 1, 1, 1]	[0.288, 0.22, 0.173, 0.063, 0.052, 0.037, 0.026, 0.026, 0.026, 0.021, 0.021, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.065, 0.355, 0.247, 0.097, 0.011, 0.065, 0.032, 0.011, 0.022, 0.043, 0.0, 0.022, 0.022, 0.011, 0.0, 0.0, 0.0, 0.0]	[0.5, 0.092, 0.102, 0.031, 0.092, 0.01, 0.02, 0.041, 0.031, 0.0, 0.041, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01]	1	1	1	0.6103167004020499	1	5	1	5	1.8279766252739225	2.0198776758409784	1.676271645021645
bit	1_2	200	100	100	[142, 15, 9, 5, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[69, 7, 9, 4, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]	[73, 8, 0, 1, 3, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]	[0.717, 0.076, 0.045, 0.025, 0.02, 0.01, 0.01, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.69, 0.07, 0.09, 0.04, 0.01, 0.01, 0.02, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.745, 0.082, 0.0, 0.01, 0.031, 0.01, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.40382900414776446	1	5	1	5	2.2738515901060072	2.0949820788530467	2.2395264116575593
chairman	1_2	200	100	100	[191]	[96]	[95]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	5	1	5	3.8063063063063063	3.7992125984251968	3.7489795918367346
chef	1_2	165	65	100	[119, 16, 10, 2, 2, 1, 1, 1, 1, 1, 1]	[22, 16, 10, 1, 2, 1, 1, 1, 1, 1, 1]	[97, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	[0.768, 0.103, 0.065, 0.013, 0.013, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006]	[0.386, 0.281, 0.175, 0.018, 0.035, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018]	[0.99, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.6307735796041614	1	5	1	5	2.607142857142857	3.859375	2.27027027027027
circle	1_2	200	100	100	[179, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[84, 5, 5, 1, 1, 1, 1, 1, 0, 0, 0, 0]	[95, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]	[0.904, 0.025, 0.025, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.848, 0.051, 0.051, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0]	[0.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.3137257550256825	1	5	1	5	2.7126334519572954	3.1339712918660285	2.7838427947598254
contemplation	1_2	200	100	100	[196]	[98]	[98]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	5	1	5	3.7024793388429753	3.5775193798449614	3.510460251046025
