lemma	T1	T2	freq1	freq2	freq_error	poly	freq	change_graded	change_binary
be	[4850, 1405, 381, 349, 324, 132, 90, 50, 18, 1, 0]	[5233, 1537, 420, 342, 343, 138, 95, 34, 40, 1, 1]	8747	9465	0.1538266599	11	0.0003331843	0.0259304427	0
experience	[28, 30, 16, 1]	[40, 27, 17, 3]	116	124	0.4814814815	4	2.693086542741299e-07	0.1054037442	0
type	[61, 2]	[75, 6]	84	109	0.3402777778	2	5.2560561963145395e-05	0.0813762041	0
make	[224, 220, 118, 32, 22, 29, 25, 8, 10, 6, 6, 1, 5, 5, 3, 2, 4, 1, 4, 2, 3, 2, 1, 1, 2, 2, 0, 1]	[232, 201, 115, 26, 38, 20, 7, 8, 6, 8, 6, 6, 6, 4, 2, 6, 1, 3, 1, 2, 1, 2, 3, 2, 0, 0, 1, 0]	809	784	0.101659751	28	0.0002183955	0.143297729	0
face	[2, 139, 26, 7, 0, 1, 1, 0]	[7, 30, 9, 27, 8, 2, 2, 1]	210	125	0.2786259542	8	0.0002707415	0.4848977585	0
see	[14, 240, 69, 55, 17, 18, 13, 12, 11, 8, 8, 8, 9, 5, 3, 2, 1, 1, 0]	[16, 241, 57, 61, 27, 25, 26, 18, 12, 18, 13, 3, 3, 5, 2, 1, 0, 0, 1]	506	538	0.0205278592	19	6.722394975645311e-06	0.1323499631	0
group	[0, 613, 2]	[1, 719, 0]	692	798	0.1161048689	3	0.0001604895	0.0481776729	0
continue	[86, 20, 4, 2, 2, 0]	[53, 10, 18, 2, 0, 1]	114	84	0	6	0.0001029622	0.2730738252	0
level	[53, 16, 12, 3, 0]	[21, 8, 4, 3, 1]	112	62	0.4380165289	5	0.0001571187	0.1535515475	0
cost	[93, 4, 0]	[17, 19, 3]	126	69	0.4338235294	3	0.0001788033	0.5202926772	0
study	[63, 24, 14, 11, 3, 2, 1, 1]	[92, 10, 4, 7, 8, 3, 1, 0]	144	156	0.2295081967	8	5.975126976226865e-06	0.2546185671	0
determine	[24, 20, 8, 6, 3, 0, 1]	[82, 1, 10, 5, 6, 7, 0]	62	111	0	7	0.0001220795	0.4747850063	0
thing	[25, 20, 15, 16, 18, 13, 9, 4, 15, 2]	[27, 20, 13, 15, 8, 16, 15, 13, 5, 2]	189	206	0.4575645756	10	1.1250345213729214e-05	0.2079531355	0
get	[59, 49, 45, 19, 19, 31, 18, 11, 6, 2, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0]	[160, 87, 33, 44, 33, 13, 12, 3, 3, 5, 1, 1, 2, 3, 2, 1, 0, 1, 1, 1]	392	563	0.4253731343	20	0.0003934166	0.2913418289	0
approach	[51, 9, 8, 4, 2]	[18, 6, 0, 1, 3]	90	52	0.3921568627	5	0.0001203164	0.2894801345	1
design	[30, 28, 18, 8, 0]	[14, 12, 4, 2, 1]	120	53	0.4786324786	5	0.000204953	0.1730396596	0
become	[88, 150, 3]	[218, 54, 2]	243	275	0.0058252427	3	4.211814271223857e-05	0.3783031763	0
claim	[44, 9, 6, 2, 1]	[16, 16, 9, 5, 2]	73	54	0.1545454545	5	6.535796312700975e-05	0.3267303898	0
change	[85, 15, 26, 17, 6, 5, 3, 2]	[8, 73, 2, 2, 1, 1, 0, 1]	184	106	0.1740890688	8	0.0002468284	0.671570304	0
need	[21, 53, 43, 5, 0]	[12, 111, 81, 8, 1]	169	267	0.3014925373	5	0.0002358023	0.1667479093	0
stay	[17, 12, 10, 4, 0, 2]	[28, 17, 12, 7, 6, 0]	54	80	0.1652173913	6	6.085811880390628e-05	0.2613736067	0
feel	[42, 85, 31, 10, 13, 5, 7, 2, 3, 1, 0]	[107, 45, 25, 19, 17, 10, 1, 3, 0, 2, 1]	206	238	0.034965035	11	4.8989244972511285e-05	0.3083649585	0
provide	[159, 16, 9, 0]	[111, 9, 5, 2]	195	133	0.0546623794	4	0.0002052489	0.0941263502	0
require	[89, 12, 5, 4]	[54, 4, 11, 2]	110	71	0	4	0.0001267569	0.1728875667	0
start	[122, 12, 12, 15, 14, 8, 2, 5, 3, 0, 0]	[41, 35, 6, 2, 3, 3, 0, 2, 1, 2, 1]	211	117	0.1349480969	11	0.0002954648	0.3749288226	0
seem	[406, 12]	[109, 59]	420	169	0.0051194539	2	0.0007623209	0.3739871523	0
give	[114, 99, 49, 49, 15, 18, 11, 15, 10, 12, 6, 6, 3, 6, 1, 1, 6, 5, 1, 2, 3, 4, 4, 3, 2, 0, 1]	[56, 56, 42, 28, 13, 11, 11, 5, 8, 4, 10, 7, 11, 6, 3, 7, 4, 1, 4, 3, 2, 0, 0, 1, 1, 1, 0]	487	340	0.1160593792	27	0.0004912183	0.2285658771	0
develop	[1, 25, 26, 24, 15, 1, 8, 5, 1, 2, 3, 1, 0, 0, 1]	[1, 18, 15, 13, 3, 13, 4, 1, 4, 2, 1, 2, 3, 1, 0]	114	82	0.0103092784	15	0.000108415	0.3722674397	0
share	[34, 14, 11, 2, 0]	[17, 17, 6, 4, 1]	75	60	0.2735849057	5	5.482380267621677e-05	0.2214945452	0
think	[62, 126, 23, 2, 0, 0, 0]	[156, 38, 82, 5, 3, 1, 2]	287	381	0.336	7	0.0002029835	0.4276205361	0
location	[358, 2, 0]	[631, 0, 2]	377	640	0.0241691843	3	0.0006470304	0.0660196669	0
consider	[21, 13, 14, 6, 9]	[79, 38, 23, 21, 5]	63	166	0	5	0.000269119	0.216753742	0
plant	[71, 2, 0]	[0, 36, 1]	86	50	0.2363636364	3	0.0001141208	0.953629583	1
expect	[28, 23, 0]	[165, 7, 11]	51	183	0	3	0.0003504129	0.4572618904	0
grow	[31, 13, 26, 3, 3, 6, 2, 3, 0]	[17, 37, 4, 9, 4, 1, 1, 0, 2]	95	85	0.1111111111	9	4.4905947776368e-05	0.463069182	0
try	[84, 5, 4, 1]	[232, 11, 0, 1]	97	252	0.0325443787	4	0.0004045775	0.1524545288	0
help	[107, 9, 10, 2, 0]	[92, 17, 10, 4, 2]	148	159	0.2134387352	5	2.5059122643062825e-06	0.1415978764	0
build	[80, 6, 1, 1]	[44, 5, 3, 0]	96	68	0.1714285714	4	9.416672446987498e-05	0.1430926662	0
appear	[70, 45, 6, 4, 2, 0, 1]	[37, 46, 15, 7, 5, 2, 0]	129	112	0.0041666667	7	7.030468355877532e-05	0.2425189837	0
keep	[123, 22, 21, 16, 5, 5, 6, 3, 3, 2, 2, 0, 2, 1, 1]	[62, 14, 9, 5, 5, 4, 2, 1, 0, 1, 1, 2, 0, 1, 0]	237	135	0.1661442006	15	0.0003221043	0.1819174807	0
use	[0, 22, 26, 12, 1, 1, 0]	[1, 663, 1, 2, 0, 0, 1]	119	726	0.1575342466	7	0.0016328215	0.6490808612	0
serve	[28, 6, 13, 12, 4, 14, 13, 5, 2, 3, 1]	[24, 30, 10, 11, 17, 6, 6, 2, 1, 0, 2]	101	110	0.0047619048	11	5.781283497627125e-06	0.3650415861	0
cover	[12, 9, 9, 7, 5, 8, 4, 0, 2, 1, 1, 1, 0, 1]	[30, 18, 13, 11, 10, 3, 1, 3, 0, 0, 0, 0, 1, 0]	67	95	0.08	14	6.389673343137648e-05	0.3571146128	0
result	[55, 43, 14]	[72, 20, 10]	149	138	0.3411214953	3	5.766043581298142e-05	0.1936552815	0
increase	[50, 31, 4, 1, 1]	[82, 51, 3, 2, 2]	98	158	0.127753304	5	0.0001453844	0.0598975235	0
know	[184, 56, 64, 34, 7, 4, 1]	[360, 80, 47, 35, 7, 4, 0]	354	537	0.0090600227	7	0.0004331902	0.1532805519	0
follow	[6, 6, 4, 3, 14, 13, 4, 8, 2, 0, 1, 1, 0, 0, 0, 0]	[59, 41, 21, 17, 4, 2, 9, 4, 7, 8, 7, 3, 3, 2, 1, 1]	65	191	0.0199203187	16	0.0003314546	0.5430331375	0
reach	[67, 25, 15, 13, 9, 12, 5, 1]	[31, 14, 15, 10, 9, 0, 4, 0]	154	90	0.0608695652	8	0.0002030878	0.2502780528	0
usually	[46]	[47]	64	74	0.4838709677	1	1.5378778603844945e-05	0	0
feed	[41, 8, 3, 2, 3, 1, 0]	[38, 6, 2, 2, 0, 2, 1]	66	59	0.1467889908	7	3.1341310710210704e-05	0.2012704911	0
figure	[59, 31, 14, 5, 4, 5, 5, 5, 0]	[25, 11, 7, 11, 9, 3, 3, 1, 1]	145	94	0.2010050251	9	0.0001659733	0.2702088957	0
demand	[7, 27, 10, 3, 1]	[57, 4, 3, 0, 0]	60	81	0.2589285714	5	4.6111921775217264e-05	0.6796456905	0
find	[128, 21, 62, 10, 46, 43, 34, 29, 21, 2, 12, 3, 2]	[25, 117, 18, 46, 10, 2, 3, 5, 6, 11, 5, 10, 4]	437	291	0.0785185185	13	0.0004792066	0.5837799	0
question	[77, 7, 3, 9, 0]	[11, 50, 9, 1, 2]	143	110	0.4970414201	5	0.0001165268	0.6641637161	0
sit	[14, 27, 8, 6, 0, 0]	[110, 5, 2, 0, 1, 1]	72	143	0.2356321839	6	0.0001802031	0.6413385355	1
eye	[154, 1, 0]	[38, 6, 6]	197	74	0.3219512195	3	0.0003719303	0.3407306467	1
remember	[82, 9, 2, 0]	[14, 40, 17, 2]	93	73	0	4	7.179846530283202e-05	0.6218719157	0
meet	[5, 6, 5, 0, 22, 1, 12, 13, 11, 0, 0, 1, 3, 0]	[1, 41, 33, 32, 1, 17, 3, 1, 1, 10, 7, 6, 0, 1]	79	159	0.0214592275	14	0.0002034407	0.7687108405	1
say	[835, 109, 13, 3, 4, 1, 2, 0]	[850, 111, 14, 5, 4, 3, 0, 1]	981	1003	0.0148337596	8	0.0001221964	0.0457387943	0
read	[0, 69, 17, 5, 2, 2, 2, 2, 0]	[1, 45, 0, 9, 3, 2, 3, 2, 3]	100	69	0.0119760479	9	0.0001030887	0.3702773116	1
live	[2, 86, 33, 20, 14, 6, 0]	[0, 46, 18, 8, 2, 8, 1]	171	90	0.0696721311	7	0.0002525935	0.1927467816	0
happen	[94, 5, 8, 4]	[49, 15, 9, 5]	111	80	0.0105820106	4	0.0001051315	0.2318029054	0
stop	[46, 51, 1, 1, 0, 0, 1, 0]	[7, 2, 27, 7, 7, 4, 0, 2]	113	61	0.1153846154	8	0.0001627571	0.7905550081	1
wait	[23, 17, 18, 1]	[66, 25, 12, 1]	62	104	0.018404908	4	0.0001029948	0.2358194175	0
let	[118, 3, 0, 0, 0]	[94, 11, 2, 2, 1]	183	155	0.4632034632	5	0.0001103231	0.2076433115	0
trouble	[7, 13, 5, 7, 4, 0]	[9, 12, 11, 7, 4, 1]	52	60	0.4	6	1.2154458509880894e-05	0.171853596	0
mean	[77, 22, 28, 19, 6, 6]	[41, 69, 17, 6, 3, 2]	163	142	0.0304054054	6	8.752424080334711e-05	0.3425089267	0
hit	[0, 29, 8, 6, 6, 6, 2, 0, 3, 2, 1]	[1, 11, 14, 11, 3, 1, 3, 3, 0, 0, 1]	66	55	0.0900900901	11	4.224688209399137e-05	0.423599847	0
watch	[67, 47, 4, 5]	[15, 6, 21, 3]	125	56	0.0773809524	4	0.0002113343	0.4783829641	0
tell	[62, 66, 16, 14, 6, 1, 2, 3]	[126, 106, 52, 36, 14, 2, 2, 0]	173	339	0.0078740157	8	0.0004204542	0.1377244464	0
person	[3125]	[3571]	3160	3607	0.0106033453	1	0.0006318683	0	0
friend	[44, 0]	[38, 1]	61	53	0.3734939759	2	3.313917622368656e-05	0.1137568489	0
begin	[2, 54, 16, 26, 0]	[29, 224, 38, 1, 1]	101	295	0.0127877238	5	0.000510164	0.3963783503	0
enter	[71, 3, 1, 3, 3, 0]	[12, 19, 16, 5, 4, 2]	81	58	0	6	7.774917824274126e-05	0.6260254972	0
surface	[2, 77, 33, 8, 1, 0]	[0, 15, 3, 3, 3, 1]	136	57	0.3219178082	6	0.000240641	0.3136485347	0
boy	[63, 12, 11, 1]	[72, 7, 3, 0]	119	115	0.3846153846	4	3.300452189654952e-05	0.1857175547	0
ask	[212, 19, 14, 0, 0]	[18, 143, 2, 2, 1]	250	169	0.0194647202	5	0.0002672642	0.7338020753	0
want	[218, 3, 1, 1]	[156, 11, 2, 2]	233	184	0.0583756345	4	0.0001768626	0.1275398059	0
leave	[3, 21, 12, 8, 6, 6, 6, 3, 8, 2, 1, 1, 1, 1, 2]	[16, 124, 45, 37, 21, 14, 11, 12, 6, 5, 6, 4, 4, 2, 1]	92	320	0.059125964	15	0.0006045327	0.2237583081	0
walk	[113, 5, 2, 3, 0]	[53, 2, 4, 0, 2]	136	69	0.1141304348	5	0.0002079243	0.2021856489	0
hold	[0, 0, 0, 1, 0, 20, 1, 1, 14, 0, 9, 6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0]	[5, 72, 51, 59, 23, 0, 16, 12, 0, 9, 0, 0, 3, 0, 2, 2, 2, 1, 1, 1, 1, 0, 1]	80	287	0.1577287066	23	0.0005495069	0.9466507459	1
contain	[35, 20, 0]	[76, 13, 2]	55	91	0	3	8.79363417968641e-05	0.2379247057	0
hope	[58, 42, 29, 0]	[17, 8, 8, 1]	155	54	0.282208589	4	0.00030415	0.1449889808	0
lead	[0, 39, 35, 4, 13, 13, 8, 10, 2, 5, 8, 4, 2, 0]	[5, 6, 6, 21, 6, 5, 5, 2, 8, 1, 0, 0, 0, 1]	151	80	0.1052631579	14	0.0002216154	0.5509575139	0
show	[11, 122, 22, 7, 29, 27, 12, 18, 2, 4, 6, 1]	[35, 29, 46, 49, 10, 5, 8, 6, 8, 3, 0, 1]	292	239	0.1518438178	12	0.0001987248	0.4971637547	0
love	[26, 25, 10, 0]	[55, 4, 5, 1]	86	96	0.4444444444	4	1.1293258340980175e-05	0.4173423896	0
complete	[54, 5, 2, 1, 1]	[64, 4, 1, 0, 0]	87	94	0.3712121212	5	2.9283743366507304e-06	0.1430409407	0
stand	[0, 85, 32, 24, 1, 3, 4, 4, 4, 0, 1]	[1, 52, 11, 8, 10, 5, 4, 2, 0, 3, 0]	203	139	0.3464566929	11	0.0002121874	0.3131109007	0
lie	[1, 51, 33, 4, 6, 4, 1, 3]	[0, 22, 16, 10, 0, 2, 3, 1]	121	68	0.2038216561	8	0.0001669692	0.2976511239	0
call	[63, 31, 26, 15, 16, 6, 6, 1, 0]	[34, 20, 12, 10, 8, 4, 3, 0, 1]	224	157	0.48828125	9	0.0002242663	0.1064879511	0
concern	[67, 3, 3, 0, 0]	[10, 27, 0, 2, 2]	90	62	0.3333333333	5	9.305249167091182e-05	0.6757014277	0
base	[27, 0, 3, 1, 0, 2, 0, 0]	[58, 4, 0, 1, 2, 0, 2, 2]	56	94	0.4705882353	8	9.320342202226063e-05	0.3877976774	1
voice	[29, 29, 3, 2, 1, 1, 0]	[25, 17, 2, 1, 1, 1, 2]	91	78	0.4824561404	7	5.2342304448228083e-05	0.1668386178	0
produce	[38, 15, 18, 7, 4, 5]	[31, 22, 8, 0, 2, 1]	89	66	0.0264900662	6	7.923482197469211e-05	0.2821273632	0
material	[48, 17, 4, 3]	[30, 20, 4, 3]	96	74	0.3178294574	4	7.780836739420397e-05	0.1232479439	0
close	[1, 52, 28, 17, 14, 2, 1, 0]	[0, 36, 15, 7, 3, 3, 1, 1]	151	104	0.408839779	8	0.000156182	0.1900429786	0
attempt	[54, 4]	[37, 13]	72	60	0.2222222222	2	4.6087507738899665e-05	0.2247840604	0
indicate	[10, 50, 34, 4, 2]	[58, 10, 2, 10, 2]	100	82	0	5	6.764561787639864e-05	0.6386885	0
cause	[24, 42, 2, 2, 0]	[94, 5, 4, 1, 2]	79	119	0.125	5	9.438498198479229e-05	0.5523708365	0
answer	[35, 13, 9, 2, 2]	[54, 13, 9, 3, 2]	75	95	0.1971830986	5	4.059994693186424e-05	0.0869270521	0
difference	[14, 19, 5, 1, 0]	[7, 52, 11, 1, 1]	50	101	0.3603603604	5	0.0001297608	0.288443367	0
learn	[34, 29, 2, 2, 0]	[55, 20, 4, 1, 1]	68	81	0.0067567568	5	2.281513527570503e-05	0.1954024096	0
record	[3, 34, 19, 9, 3, 2, 2, 1]	[2, 26, 13, 2, 2, 1, 1, 0]	88	78	0.3833333333	8	4.3606009510911036e-05	0.1584593662	0
receive	[31, 20, 15, 14, 3, 8, 1, 2, 1]	[89, 6, 4, 4, 13, 0, 1, 0, 0]	95	117	0	9	4.23386232938775e-05	0.4851394565	0
amount	[45, 1, 2, 6]	[5, 42, 20, 0]	77	90	0.3801652893	4	2.114378607726033e-05	0.8180887292	1
play	[29, 16, 6, 25, 6, 5, 2, 1, 1, 5, 2, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1]	[70, 32, 31, 7, 19, 10, 7, 5, 4, 0, 2, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0]	119	213	0.0993377483	21	0.000234182	0.3893619499	0
remain	[39, 23, 11, 2]	[80, 11, 23, 7]	76	122	0.0102040816	4	0.0001113005	0.2386797696	0
put	[34, 30, 7, 2, 1, 0]	[93, 65, 21, 2, 2, 2]	125	229	0.3667953668	6	0.0002603317	0.1040177501	0
write	[45, 29, 16, 13, 1, 3, 1, 3, 0]	[65, 65, 17, 2, 9, 6, 7, 1, 1]	123	182	0.073943662	9	0.0001380154	0.2753473875	0
bring	[79, 13, 22, 14, 0, 2, 1, 2, 0]	[42, 39, 8, 4, 9, 2, 2, 0, 1]	187	152	0.4125	9	0.0001301507	0.3936972298	0
form	[0, 35, 25, 42, 5, 1, 6, 0, 0, 0, 0, 0]	[3, 86, 60, 14, 20, 15, 4, 3, 2, 1, 1, 1]	158	253	0.2685185185	12	0.0002296659	0.3883722058	0
speak	[42, 12, 15, 3]	[20, 39, 8, 8]	92	93	0.2585034014	4	1.4358510071489563e-05	0.3675599411	0
feeling	[19, 15, 7, 4]	[27, 12, 9, 2]	62	69	0.3789473684	4	7.5710109989971495e-06	0.1349765238	0
add	[37, 22, 10, 2, 0]	[77, 41, 5, 1, 1]	73	131	0.0408163265	5	0.0001445743	0.1812014056	0
rise	[1, 19, 22, 8, 3, 3, 2, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1]	[1, 14, 4, 12, 6, 3, 3, 1, 2, 2, 2, 2, 0, 1, 0, 0, 0]	88	65	0.2047244094	17	7.904911650819828e-05	0.3572899973	0
draw	[8, 10, 3, 4, 4, 5, 2, 2, 3, 3, 3, 1, 2, 1, 2, 2, 0, 0, 1, 1, 0]	[4, 5, 7, 5, 5, 4, 4, 4, 2, 3, 2, 2, 2, 2, 1, 0, 2, 1, 0, 0, 1]	74	68	0.2566371681	21	3.0100561596216335e-05	0.3473518405	0
accept	[13, 14, 8, 8, 3, 6, 1]	[19, 18, 9, 4, 5, 1, 0]	53	57	0.0091743119	7	1.0631816596063434e-06	0.2410151074	0
student	[29, 10]	[37, 4]	54	63	0.4625	2	1.4509440422838342e-05	0.1794146153	0
open	[2, 19, 53, 22, 8, 5, 7, 1, 0, 2, 0, 1, 0, 1, 0]	[1, 78, 8, 4, 12, 0, 1, 4, 3, 1, 2, 0, 1, 0, 1]	182	171	0.4894514768	15	6.37887162072786e-05	0.5975223322	0
idea	[91, 0, 1, 1]	[55, 3, 0, 0]	122	88	0.3907284768	4	0.0001153534	0.1917959902	0
report	[30, 16, 8, 5, 0, 0]	[84, 46, 13, 2, 1, 1]	75	178	0.2281553398	6	0.0002668906	0.182952178	0
include	[152, 23, 6, 5]	[82, 9, 12, 3]	186	106	0	4	0.0002526526	0.1423648867	0
temperature	[48, 1]	[43, 0]	63	59	0.3260869565	2	2.2605015772893602e-05	0.101390169	0
create	[65, 14, 4]	[28, 24, 2]	83	54	0	3	9.447894625140002e-05	0.2577755491	0
send	[48, 7, 6, 11, 2, 2, 3, 1]	[24, 12, 13, 2, 3, 3, 0, 1]	89	69	0.1449275362	8	7.10556434368566e-05	0.3288576956	0
child	[51, 33]	[95, 27]	116	160	0.3398058252	2	9.841945110830033e-05	0.158720697	0
range	[2, 50, 6, 4, 1, 1]	[8, 26, 8, 4, 0, 1]	80	61	0.2702702703	6	6.665790139246674e-05	0.2638885424	0
fight	[41, 8, 1, 5]	[8, 40, 5, 0]	70	60	0.2037037037	4	4.026331111402161e-05	0.6195008144	0
condition	[37, 6, 0, 0]	[34, 7, 2, 1]	58	62	0.3793103448	4	1.3465432713706494e-07	0.1904047466	0
drive	[0, 11, 22, 15, 5, 5, 2, 2, 0, 1, 1]	[1, 51, 7, 2, 9, 0, 0, 3, 3, 0, 0]	83	95	0.2714285714	11	1.7303160432352035e-05	0.5818289267	0
seek	[6, 30, 29]	[37, 9, 3]	70	58	0.1228070175	3	4.5716096805911954e-05	0.6138188851	0
foot	[31, 29, 2, 2, 1, 1, 0]	[32, 50, 3, 2, 0, 0, 1]	78	100	0.1558441558	7	4.549561622427302e-05	0.1792785392	0
pass	[18, 24, 20, 5, 8, 0, 2, 2, 4, 1, 1, 0, 1, 1, 1, 1, 1, 0]	[11, 8, 11, 11, 6, 9, 7, 1, 0, 2, 1, 3, 0, 0, 0, 0, 0, 1]	121	109	0.4285714286	18	5.518707559709862e-05	0.4595646928	1
move	[22, 24, 38, 5, 3, 4, 2, 1, 1, 1, 2, 0, 1]	[74, 31, 6, 15, 12, 2, 4, 2, 2, 2, 0, 1, 0]	131	180	0.2196078431	13	0.0001092658	0.4349522702	0
drop	[40, 3, 13, 0, 5, 5, 1, 0, 0, 0, 1, 1]	[4, 22, 0, 6, 1, 0, 4, 3, 2, 2, 0, 0]	80	55	0.1946902655	12	8.301625846813775e-05	0.7940818084	1
measure	[6, 16, 15, 9, 3, 0, 0]	[4, 24, 7, 7, 5, 1, 1]	62	61	0.2551020408	7	1.424013176856424e-05	0.2504109989	0
purpose	[37, 14, 2]	[33, 10, 0]	73	65	0.4375	3	3.5367641821612854e-05	0.1441404835	0
information	[44, 17, 0]	[54, 29, 1]	86	117	0.4	3	6.854750810582875e-05	0.100725815	0
establish	[17, 17, 15, 10, 3, 1, 0, 0]	[32, 10, 7, 5, 3, 1, 1, 1]	63	60	0	8	1.9878622926948415e-05	0.2850384472	0
wish	[4, 13, 24, 1, 1, 0, 0]	[15, 27, 7, 9, 4, 1, 2]	51	68	0.1018518519	7	3.68776995898813e-05	0.459345385	0
window	[29, 3, 3]	[40, 3, 0]	51	56	0.3717948718	3	4.160985438539215e-06	0.2134681302	0
arm	[35, 1, 0, 1]	[37, 1, 1, 0]	53	58	0.4605263158	4	3.7895745055515034e-06	0.1623226593	0
cell	[38, 23, 0]	[33, 21, 1]	71	64	0.1637931034	3	3.2269838042679955e-05	0.0962136914	0
describe	[49, 28, 1, 0]	[27, 24, 0, 1]	78	52	0	4	8.537124038109523e-05	0.1562056764	0
value	[4, 43, 2, 1]	[63, 10, 12, 1]	71	116	0.375	4	0.0001095026	0.6860128217	0
game	[19, 17, 5, 4]	[18, 9, 8, 3]	63	56	0.4337349398	4	3.078419431072911e-05	0.1559042034	0
meaning	[18, 16]	[26, 15]	54	57	0.48	2	1.8489166528326724e-06	0.0902620496	0
trial	[21, 23, 2, 1]	[28, 21, 1, 0]	71	74	0.4948453608	4	5.005909583228246e-06	0.1419427438	0
